<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01.09.2020,11:04:00,109009,115282,107965,112716,63
01.09.2020,11:05:00,112936,115248,108329,108584,75
01.09.2020,11:06:00,113483,115051,107923,111411,27
01.09.2020,11:07:00,114681,115102,107969,107969,90
01.09.2020,11:08:00,109275,115279,108246,115279,33
01.09.2020,11:09:00,108610,115256,108431,110807,24
01.09.2020,11:10:00,112433,115284,107912,111894,52
01.09.2020,11:11:00,113688,115288,108090,109807,91
01.09.2020,11:12:00,110752,115208,107903,112128,33
01.09.2020,11:13:00,112871,115237,107912,113076,67
01.09.2020,11:14:00,110413,115189,108150,109807,19
01.09.2020,11:15:00,112555,115029,108096,112782,68
01.09.2020,11:16:00,112143,115176,107954,114466,63
01.09.2020,11:17:00,114927,115233,108039,111943,82
01.09.2020,11:18:00,112748,114920,107937,109506,74
01.09.2020,11:19:00,114980,115098,107913,112291,72
01.09.2020,11:20:00,110974,115246,107919,111577,61
01.09.2020,11:21:00,108024,115227,107924,113699,24
01.09.2020,11:22:00,109103,115275,108026,111785,91
01.09.2020,11:23:00,114716,115261,108048,112487,68
01.09.2020,11:24:00,108042,115170,108042,114557,91
01.09.2020,11:25:00,108527,114932,107976,111705,64
01.09.2020,11:26:00,112393,115169,108128,112799,61
01.09.2020,11:27:00,110457,115242,107958,109601,50
01.09.2020,11:28:00,110958,115280,108033,108452,21
01.09.2020,11:29:00,114269,115090,107912,113738,77
01.09.2020,11:30:00,109808,115046,107952,110017,86
01.09.2020,11:31:00,108990,115123,107959,109097,93
01.09.2020,11:32:00,111980,115148,108146,110725,19
01.09.2020,11:33:00,112928,115198,107920,107920,85
01.09.2020,11:34:00,108752,115201,107901,110390,87
01.09.2020,11:35:00,111623,115224,107922,112765,92
01.09.2020,11:36:00,114845,114932,107929,114611,95
01.09.2020,11:37:00,110017,115215,107925,108359,98
01.09.2020,11:38:00,112668,114983,108222,108737,66
01.09.2020,11:39:00,110983,115294,108111,110082,2
01.09.2020,11:40:00,113815,115289,107941,112721,84
01.09.2020,11:41:00,110260,115059,107949,114943,64
01.09.2020,11:42:00,111181,115141,107930,114709,78
01.09.2020,11:43:00,109171,115277,108076,111168,38
01.09.2020,11:44:00,110059,115262,108072,113823,23
01.09.2020,11:45:00,108397,115214,107901,111210,30
01.09.2020,11:46:00,109648,115172,107912,110625,25
01.09.2020,11:47:00,112734,115230,108290,110339,5
01.09.2020,11:48:00,109675,115221,108018,113845,11
01.09.2020,11:49:00,110812,115217,108193,108351,46
01.09.2020,11:50:00,113501,115289,108203,108615,14
01.09.2020,11:51:00,111934,115202,107957,113128,20
01.09.2020,11:52:00,109713,114928,107922,113697,63
01.09.2020,11:53:00,112903,115298,107941,114014,77
01.09.2020,11:54:00,107902,114894,107902,108361,39
01.09.2020,11:55:00,112189,115233,107941,112143,49
01.09.2020,11:56:00,113750,115250,108147,111739,59
01.09.2020,11:57:00,114379,114917,108030,110854,12
01.09.2020,11:58:00,113856,115248,108174,108397,77
01.09.2020,11:59:00,113146,115277,108057,111171,77
01.09.2020,12:00:00,112267,115131,108032,115131,58
01.09.2020,12:01:00,114856,115089,107922,114455,89
01.09.2020,12:02:00,113403,115278,108117,114035,80
01.09.2020,12:03:00,110221,115249,107923,110183,12
01.09.2020,12:04:00,110913,115121,108020,114956,28
01.09.2020,12:05:00,109942,115037,107961,112532,52
01.09.2020,12:06:00,111405,115236,108313,108565,96
01.09.2020,12:07:00,107951,115142,107951,109314,13
01.09.2020,12:08:00,108667,115119,107937,108257,39
01.09.2020,12:09:00,111868,115151,108040,108743,50
01.09.2020,12:10:00,114498,115176,107948,115176,58
01.09.2020,12:11:00,115191,115218,108093,114226,26
01.09.2020,12:12:00,108649,115223,108135,111179,11
01.09.2020,12:13:00,109922,115264,107960,110336,46
01.09.2020,12:14:00,107959,115288,107925,110096,61
01.09.2020,12:15:00,111729,115251,107926,113279,77
01.09.2020,12:16:00,111434,115252,107910,109509,30
01.09.2020,12:17:00,108328,115180,107903,114880,91
01.09.2020,12:18:00,113600,115249,107997,113889,5
01.09.2020,12:19:00,111540,115295,107936,110434,91
01.09.2020,12:20:00,110849,115114,107982,112009,9
01.09.2020,12:21:00,108558,115275,108075,112120,79
01.09.2020,12:22:00,110237,115147,108006,112171,44
01.09.2020,12:23:00,114876,114941,107998,112302,68
01.09.2020,12:24:00,107940,115264,107940,115185,73
01.09.2020,12:25:00,108939,115131,108157,110653,86
01.09.2020,12:26:00,108117,115168,108099,110254,47
01.09.2020,12:27:00,108286,115285,107944,109269,67
01.09.2020,12:28:00,112568,115292,108126,108998,3
01.09.2020,12:29:00,107944,115191,107904,113507,43
01.09.2020,12:30:00,111865,115107,107901,113223,9
01.09.2020,12:31:00,109518,115223,108009,110574,32
01.09.2020,12:32:00,110039,115260,107963,109460,78
01.09.2020,12:33:00,109308,115238,107937,107937,43
01.09.2020,12:34:00,114039,115267,108059,110861,24
01.09.2020,12:35:00,108948,115269,107973,111531,25
01.09.2020,12:36:00,112142,115264,108126,114633,85
01.09.2020,12:37:00,109285,115093,108212,113701,77
01.09.2020,12:38:00,108636,115037,107936,110491,16
01.09.2020,12:39:00,114472,115289,108034,111072,92
01.09.2020,12:40:00,113481,115110,107983,112336,51
01.09.2020,12:41:00,108956,115279,108374,110958,66
01.09.2020,12:42:00,111276,115136,107980,112804,80
01.09.2020,12:43:00,115006,115076,108001,113314,78
01.09.2020,12:44:00,108582,115189,107909,111235,9
01.09.2020,12:45:00,111600,115275,107906,109371,43
01.09.2020,12:46:00,108143,114991,107921,108689,88
01.09.2020,12:47:00,110536,115216,108279,113422,11
01.09.2020,12:48:00,110710,115269,107904,113447,65
01.09.2020,12:50:00,108590,115194,108012,109312,7
01.09.2020,12:51:00,108279,114955,108204,113079,56
01.09.2020,12:52:00,108604,115248,107970,114732,55
01.09.2020,12:53:00,114445,114835,108158,112689,74
01.09.2020,12:54:00,115195,115195,108202,110757,83
01.09.2020,12:55:00,109150,115112,107982,109716,32
01.09.2020,12:56:00,109717,114911,107946,109101,79
01.09.2020,12:57:00,114035,114909,108292,112688,59
01.09.2020,12:58:00,109316,115260,108495,108708,25
01.09.2020,12:59:00,108763,115186,107958,115126,8
01.09.2020,13:00:00,108821,115106,108006,111629,88
01.09.2020,13:01:00,108309,114954,107982,109927,69
01.09.2020,13:02:00,112137,115215,107934,112494,64
01.09.2020,13:03:00,108274,115148,107957,112043,84
01.09.2020,13:04:00,111034,114897,107955,113097,32
01.09.2020,13:05:00,112407,115133,107903,111003,23
01.09.2020,13:06:00,113823,115234,107937,110649,23
01.09.2020,13:07:00,110755,115294,108148,110138,94
01.09.2020,13:08:00,113959,115272,107960,114255,18
01.09.2020,13:09:00,114865,115083,108338,114208,2
01.09.2020,13:10:00,112822,115264,107938,110377,98
01.09.2020,13:11:00,109123,115281,108060,110858,14
01.09.2020,13:12:00,109651,115066,108260,114133,72
01.09.2020,13:13:00,109507,115265,108109,111506,27
01.09.2020,13:14:00,110582,115170,108139,113581,60
01.09.2020,13:15:00,110066,115299,108074,112810,76
01.09.2020,13:16:00,113803,115297,107939,113648,34
01.09.2020,13:17:00,112681,115271,107995,111986,67
01.09.2020,13:18:00,109282,115241,107953,114812,67
01.09.2020,13:19:00,114985,115276,108072,113534,90
01.09.2020,13:20:00,111879,114971,108096,113667,30
01.09.2020,13:21:00,109362,115229,107914,111126,22
01.09.2020,13:22:00,114659,114899,107923,109946,42
01.09.2020,13:23:00,110706,115227,108069,108175,49
01.09.2020,13:24:00,111648,114923,108027,114686,70
01.09.2020,13:25:00,112389,115249,108045,109991,42
01.09.2020,13:26:00,113342,115204,108126,114456,92
01.09.2020,13:27:00,108720,115273,108212,112051,4
01.09.2020,13:28:00,108164,115234,107992,113329,69
01.09.2020,13:29:00,111496,115128,107955,111679,90
01.09.2020,13:30:00,110776,115286,108104,108527,86
01.09.2020,13:31:00,110619,115150,108123,110968,20
01.09.2020,13:32:00,114633,115236,107975,109826,46
01.09.2020,13:33:00,108215,115194,107928,109157,73
01.09.2020,13:34:00,108081,115241,107921,115022,12
01.09.2020,13:35:00,113889,115297,107931,112607,21
01.09.2020,13:36:00,115274,115274,107937,110337,80
01.09.2020,13:37:00,108531,115294,108124,108668,89
01.09.2020,13:38:00,110171,115244,108068,112720,12
01.09.2020,13:39:00,113869,115110,108013,109425,6
01.09.2020,13:40:00,109778,115241,107999,108230,78
01.09.2020,13:41:00,108824,114982,108094,108094,50
01.09.2020,13:42:00,113792,115213,108052,112968,73
01.09.2020,13:43:00,113823,115022,108005,109891,11
01.09.2020,13:44:00,114100,115110,107986,110495,39
01.09.2020,13:45:00,111144,115240,108105,110198,97
01.09.2020,13:46:00,109686,115269,107960,108748,1
01.09.2020,13:47:00,108741,115280,108077,110914,48
01.09.2020,13:48:00,112252,115180,107936,110192,17
01.09.2020,13:49:00,110159,115286,108042,114431,94
01.09.2020,13:50:00,110460,115199,107901,114945,37
01.09.2020,13:51:00,109612,115234,107992,111968,40
01.09.2020,13:52:00,111996,115079,107904,108573,60
01.09.2020,13:53:00,109147,115232,108073,108145,30
01.09.2020,13:54:00,112916,114950,108095,109732,9
01.09.2020,13:55:00,108523,115090,107961,111083,28
01.09.2020,13:56:00,112701,115283,107915,113406,45
01.09.2020,13:57:00,113563,115258,108038,114084,67
01.09.2020,13:58:00,113612,114828,108018,111952,2
01.09.2020,13:59:00,110309,115249,107992,111478,22
01.09.2020,14:00:00,115222,115222,107900,112913,85
01.09.2020,14:01:00,112064,115295,107985,109575,25
01.09.2020,14:02:00,114363,115206,108348,113480,89
01.09.2020,14:03:00,113228,115038,107958,110070,30
01.09.2020,14:04:00,110190,114866,108163,112130,45
01.09.2020,14:05:00,109569,115177,108013,112777,22
01.09.2020,14:06:00,109245,114980,107977,109433,31
01.09.2020,14:07:00,109105,115164,107941,108967,47
01.09.2020,14:08:00,108914,115298,107918,109225,59
01.09.2020,14:09:00,113351,115127,107959,109972,67
01.09.2020,14:10:00,113592,115250,107933,110951,41
01.09.2020,14:11:00,112891,115178,107913,113481,84
01.09.2020,14:12:00,110990,114594,107963,114114,86
01.09.2020,14:13:00,112330,114968,107923,113963,97
01.09.2020,14:14:00,111879,114915,107972,114915,79
01.09.2020,14:15:00,112638,115283,108008,111685,22
01.09.2020,14:16:00,114449,115260,107958,110289,29
01.09.2020,14:17:00,110125,115125,108183,114947,92
01.09.2020,14:18:00,110755,115209,108012,111711,45
01.09.2020,14:19:00,112109,115252,107996,114414,40
01.09.2020,14:20:00,110332,115156,108090,108631,77
01.09.2020,14:21:00,108061,115257,108061,113093,91
01.09.2020,14:22:00,115221,115257,107948,108783,75
01.09.2020,14:23:00,108402,115230,108094,108418,16
01.09.2020,14:24:00,111184,115282,107921,110986,4
01.09.2020,14:25:00,114491,115208,107905,114819,70
01.09.2020,14:26:00,108131,115144,107998,110444,47
01.09.2020,14:27:00,108866,115292,108144,110412,16
01.09.2020,14:28:00,109024,115229,107910,113577,47
01.09.2020,14:29:00,113281,115255,107963,111696,38
01.09.2020,14:30:00,110411,115257,107998,113301,49
01.09.2020,14:31:00,114335,115138,107968,114878,3
01.09.2020,14:32:00,110333,115264,107970,112493,45
01.09.2020,14:33:00,112183,115293,107926,110475,14
01.09.2020,14:34:00,112510,114962,107906,113528,6
01.09.2020,14:35:00,114586,115232,108130,114873,12
01.09.2020,14:36:00,110339,115082,107955,111701,13
01.09.2020,14:37:00,108354,115237,108013,108460,59
01.09.2020,14:38:00,114658,115270,107935,113809,10
01.09.2020,14:39:00,111480,115242,108278,114115,98
01.09.2020,14:40:00,110983,115297,107916,112269,41
01.09.2020,14:41:00,113764,114688,108011,108208,56
01.09.2020,14:42:00,108480,115193,107954,108272,67
01.09.2020,14:43:00,113926,115214,108249,114309,84
01.09.2020,14:44:00,109285,115115,107980,115115,77
01.09.2020,14:45:00,113868,115198,108099,113774,5
01.09.2020,14:46:00,109935,115194,108033,112278,30
01.09.2020,14:47:00,114855,115294,108107,108692,89
01.09.2020,14:48:00,109511,115267,107923,111462,75
01.09.2020,14:49:00,114783,115099,108079,114334,92
01.09.2020,14:50:00,114127,115286,108017,111550,22
01.09.2020,14:51:00,109418,115224,107924,109614,76
01.09.2020,14:52:00,110053,115259,108052,114949,82
01.09.2020,14:53:00,113536,115062,107973,109298,57
01.09.2020,14:54:00,107973,115199,107973,112348,73
01.09.2020,14:55:00,109019,115291,108086,108677,18
01.09.2020,14:56:00,113400,115142,108158,108922,59
01.09.2020,14:57:00,110914,115200,108011,111138,30
01.09.2020,14:58:00,107965,115177,107965,114091,17
01.09.2020,14:59:00,114993,115066,107902,112200,70
01.09.2020,15:00:00,113694,115264,108003,112051,97
01.09.2020,15:01:00,114616,115027,107915,113003,92
01.09.2020,15:02:00,110464,115180,108037,109775,32
01.09.2020,15:03:00,110046,115199,108099,112523,13
01.09.2020,15:04:00,108651,114552,107998,112391,69
01.09.2020,15:05:00,115056,115222,107946,115209,33
01.09.2020,15:06:00,112344,115234,108197,112718,40
01.09.2020,15:07:00,109544,115095,107971,108468,58
01.09.2020,15:08:00,108077,115260,107902,109750,47
01.09.2020,15:09:00,108640,114929,107936,113887,87
01.09.2020,15:10:00,110909,115134,107983,112975,56
01.09.2020,15:11:00,112432,115233,108108,112277,86
01.09.2020,15:12:00,107934,115199,107934,108518,23
01.09.2020,15:13:00,115109,115150,107900,110100,79
01.09.2020,15:14:00,110563,115250,108018,109473,18
01.09.2020,15:15:00,108048,115271,107962,114943,39
01.09.2020,15:16:00,115076,115243,108113,109252,90
01.09.2020,15:17:00,110444,115246,108063,109433,1
01.09.2020,15:18:00,114454,115283,108068,113449,35
01.09.2020,15:19:00,112063,115018,107906,108281,4
01.09.2020,15:20:00,112392,115203,107915,108597,74
01.09.2020,15:21:00,112644,115264,107992,109793,82
01.09.2020,15:22:00,107966,115229,107966,109381,88
01.09.2020,15:23:00,113659,115287,107971,108406,19
01.09.2020,15:24:00,109447,115233,108131,110026,73
01.09.2020,15:25:00,114638,115290,107943,109520,79
01.09.2020,15:26:00,110720,115295,107971,107971,13
01.09.2020,15:27:00,112066,114879,107903,113120,42
01.09.2020,15:28:00,112166,115198,107964,112322,29
01.09.2020,15:29:00,112174,114890,107903,111087,7
01.09.2020,15:30:00,112781,115145,107962,112889,87
01.09.2020,15:31:00,113510,115038,108046,111330,60
01.09.2020,15:32:00,115179,115269,107991,114856,51
01.09.2020,15:33:00,112158,115243,107964,110984,92
01.09.2020,15:34:00,115294,115294,107943,113717,34
01.09.2020,15:35:00,114625,115044,107988,111262,23
01.09.2020,15:36:00,108000,115289,107903,113252,37
01.09.2020,15:37:00,114030,115271,107960,108326,69
01.09.2020,15:38:00,111453,115104,107911,111677,76
01.09.2020,15:39:00,113645,114845,108013,114027,53
01.09.2020,15:40:00,110188,115165,108053,113133,32
01.09.2020,15:41:00,109775,115281,108100,108100,90
01.09.2020,15:42:00,109643,115232,107974,110302,90
01.09.2020,15:43:00,113651,115266,108110,113666,48
01.09.2020,15:44:00,110631,115295,107922,112606,42
01.09.2020,15:45:00,110801,115071,108045,109271,65
01.09.2020,15:46:00,108826,114870,107903,110119,79
01.09.2020,15:47:00,113329,115194,108188,108344,62
01.09.2020,15:48:00,112430,115277,107948,115197,18
01.09.2020,15:49:00,114020,115273,107948,110075,52
01.09.2020,15:50:00,110316,115185,107959,110244,83
01.09.2020,15:51:00,112542,115258,108002,108649,65
01.09.2020,15:52:00,112600,115197,108039,108679,18
01.09.2020,15:53:00,113914,115254,107950,113470,26
01.09.2020,15:54:00,111787,115220,107934,114076,97
01.09.2020,15:55:00,111547,115289,107973,111135,11
01.09.2020,15:56:00,111325,115272,107961,112200,96
01.09.2020,15:57:00,114994,114994,108050,110134,95
01.09.2020,15:58:00,111620,115225,108098,112883,76
01.09.2020,15:59:00,109612,115265,107911,110594,43
01.09.2020,16:00:00,114997,115115,107902,114045,90
01.09.2020,16:01:00,108106,115286,107988,115057,74
01.09.2020,16:02:00,108587,115275,108097,114168,15
01.09.2020,16:03:00,110733,115283,107957,114945,83
01.09.2020,16:04:00,111015,115216,108160,113355,82
01.09.2020,16:05:00,109251,115117,107944,109575,77
01.09.2020,16:06:00,115245,115245,107952,111976,82
01.09.2020,16:07:00,111480,115281,107939,109239,98
01.09.2020,16:08:00,110344,115180,107989,108141,22
01.09.2020,16:09:00,109397,115273,108237,114075,41
01.09.2020,16:10:00,112997,115152,107983,108408,25
01.09.2020,16:11:00,111059,115047,108380,112817,14
01.09.2020,16:12:00,108586,114768,107910,111040,71
01.09.2020,16:13:00,113045,115245,108075,115062,13
01.09.2020,16:14:00,114887,115242,108271,109613,24
01.09.2020,16:15:00,113987,115157,107950,110283,48
01.09.2020,16:16:00,110018,115241,108180,109926,37
01.09.2020,16:17:00,115298,115298,107914,109258,66
01.09.2020,16:18:00,109676,115292,108086,112325,23
01.09.2020,16:19:00,111347,115075,107986,110428,40
01.09.2020,16:20:00,111755,115069,107910,107910,58
01.09.2020,16:21:00,108457,115276,107915,110490,20
01.09.2020,16:22:00,109303,115287,108008,112263,9
01.09.2020,16:23:00,112610,115173,107934,110330,98
01.09.2020,16:24:00,109929,115212,107919,114669,34
01.09.2020,16:25:00,108685,115159,108025,108867,59
01.09.2020,16:26:00,109418,115122,107947,111672,83
01.09.2020,16:27:00,113689,115173,107910,111470,16
01.09.2020,16:28:00,111078,115295,108341,112259,58
01.09.2020,16:29:00,113766,114909,107969,113828,44
01.09.2020,16:30:00,114929,114929,107935,109502,21
01.09.2020,16:31:00,114209,115119,108220,114870,18
01.09.2020,16:32:00,112743,115224,107954,109299,46
01.09.2020,16:33:00,114882,115080,108097,109304,91
01.09.2020,16:34:00,110684,115103,107947,114531,41
01.09.2020,16:35:00,112770,115278,107920,108269,38
01.09.2020,16:36:00,114311,114983,107971,109551,89
01.09.2020,16:37:00,115270,115270,107945,108432,81
01.09.2020,16:38:00,108257,115148,108257,112041,10
01.09.2020,16:39:00,113745,115136,107992,108899,42
01.09.2020,16:40:00,113092,115151,107979,113574,80
01.09.2020,16:41:00,110281,115250,107952,110166,17
01.09.2020,16:42:00,110243,115289,108156,115288,32
01.09.2020,16:43:00,113505,115206,107936,107969,71
01.09.2020,16:44:00,112753,115271,107926,110199,18
01.09.2020,16:45:00,109433,115064,107909,110764,40
01.09.2020,16:46:00,110951,115108,107969,108220,30
01.09.2020,16:47:00,114914,115248,108060,112991,53
01.09.2020,16:48:00,114505,115185,108127,111068,62
01.09.2020,16:49:00,108591,115282,107987,110935,71
01.09.2020,16:50:00,112425,115152,107979,113446,12
01.09.2020,16:51:00,109107,115103,107941,114091,47
01.09.2020,16:52:00,110532,115173,108000,112771,90
01.09.2020,16:53:00,111766,115261,107915,113970,79
01.09.2020,16:54:00,108657,114538,107990,114407,79
01.09.2020,16:55:00,112547,115183,108363,110771,86
01.09.2020,16:56:00,111271,115279,108031,109063,30
01.09.2020,16:57:00,111489,114949,107951,113772,71
01.09.2020,16:58:00,112023,115256,107906,113608,48
01.09.2020,16:59:00,113063,115207,107991,113978,25
01.09.2020,17:00:00,110051,115180,108014,109875,57
01.09.2020,17:01:00,109392,115210,108089,115210,70
01.09.2020,17:02:00,109966,115188,108345,108511,47
01.09.2020,17:03:00,113828,115293,108045,111372,67
01.09.2020,17:04:00,114459,115264,108198,111502,14
01.09.2020,17:05:00,109494,115168,107917,110776,97
01.09.2020,17:06:00,109416,115157,107918,111602,84
01.09.2020,17:07:00,112129,115102,107903,115020,13
01.09.2020,17:08:00,114657,115085,107916,112806,32
01.09.2020,17:09:00,115152,115268,107996,110556,90
01.09.2020,17:10:00,110502,115201,107922,112675,9
01.09.2020,17:11:00,111497,115180,107954,111599,98
01.09.2020,17:12:00,115280,115280,108167,108464,50
01.09.2020,17:13:00,108175,115140,107997,109634,41
01.09.2020,17:14:00,109775,115268,108020,110290,13
01.09.2020,17:15:00,109054,115182,108082,108952,57
01.09.2020,17:17:00,110725,115181,107942,111786,81
01.09.2020,17:18:00,109821,115084,108012,114295,47
01.09.2020,17:19:00,111662,115267,108293,112975,68
01.09.2020,17:20:00,111719,114903,108042,114056,54
01.09.2020,17:21:00,108641,115186,107917,111427,26
01.09.2020,17:22:00,108864,115277,108232,115262,82
01.09.2020,17:23:00,111168,115180,108037,114716,14
01.09.2020,17:24:00,109874,115261,107937,107937,68
01.09.2020,17:25:00,114750,115240,107948,110490,27
01.09.2020,17:26:00,108624,115197,107903,112582,72
01.09.2020,17:27:00,113787,115270,108096,115032,77
01.09.2020,17:28:00,111791,115152,108311,109306,51
01.09.2020,17:29:00,108831,115042,107953,113291,7
01.09.2020,17:30:00,112116,115178,108380,108380,29
01.09.2020,17:31:00,110545,115264,107935,109432,51
01.09.2020,17:32:00,112675,115273,107907,111991,96
01.09.2020,17:33:00,114697,115173,108024,114568,21
01.09.2020,17:34:00,113338,115253,108000,109047,92
01.09.2020,17:35:00,111472,115233,107933,115016,15
01.09.2020,17:36:00,112706,115269,108292,114708,79
01.09.2020,17:37:00,110531,114870,108158,109322,69
01.09.2020,17:38:00,112358,115054,107909,111576,97
01.09.2020,17:39:00,112657,115198,107984,109748,72
01.09.2020,17:40:00,111959,115283,108189,114211,32
01.09.2020,17:41:00,108181,115024,108067,108927,88
01.09.2020,17:42:00,112227,115139,108271,112222,41
01.09.2020,17:43:00,114487,114799,107905,109794,60
01.09.2020,17:44:00,111433,115261,108006,110347,88
01.09.2020,17:45:00,111165,115205,107909,108365,40
01.09.2020,17:46:00,112836,115180,107912,111599,96
01.09.2020,17:47:00,115013,115134,108142,111171,20
01.09.2020,17:48:00,112858,115211,108184,110659,64
01.09.2020,17:49:00,114272,115282,107977,114963,23
01.09.2020,17:50:00,114436,115089,108096,113478,81
01.09.2020,17:51:00,109982,115277,107973,112660,24
01.09.2020,17:52:00,115271,115291,107974,112636,32
01.09.2020,17:53:00,108327,115123,107938,112096,23
01.09.2020,17:54:00,114098,115259,108066,111661,82
01.09.2020,17:55:00,110117,115295,108140,109332,91
01.09.2020,17:56:00,112451,115262,107901,113853,95
01.09.2020,17:57:00,108438,115257,108007,110259,30
01.09.2020,17:58:00,111710,115299,107970,112209,39
01.09.2020,17:59:00,115073,115251,108046,113533,61
01.09.2020,18:00:00,111359,115201,107967,110641,4
01.09.2020,18:01:00,110921,115207,108046,111111,46
01.09.2020,18:02:00,108133,115254,108074,114642,18
01.09.2020,18:03:00,108836,115206,107999,114071,21
01.09.2020,18:04:00,109620,115252,107958,112026,67
01.09.2020,18:05:00,111074,115283,108005,114198,68
01.09.2020,18:06:00,111751,115292,107900,114456,89
01.09.2020,18:07:00,111265,115256,108050,114152,57
01.09.2020,18:08:00,111104,115234,107959,112368,50
01.09.2020,18:09:00,110409,115251,107963,109220,36
01.09.2020,18:10:00,109309,114791,107930,113418,83
01.09.2020,18:11:00,110628,115299,107981,113096,10
01.09.2020,18:12:00,110827,115228,108097,114424,40
01.09.2020,18:13:00,112941,115238,107930,111943,38
01.09.2020,18:14:00,112643,115192,108010,109378,8
01.09.2020,18:15:00,114431,115297,108120,113532,34
01.09.2020,18:16:00,114644,115249,107980,111417,43
01.09.2020,18:17:00,112833,115158,108102,111182,67
01.09.2020,18:18:00,113216,115151,107989,109411,15
01.09.2020,18:19:00,113099,115160,107978,111416,35
01.09.2020,18:20:00,110059,115266,107921,114253,91
01.09.2020,18:21:00,108891,115272,108068,109092,71
01.09.2020,18:22:00,114816,115218,108333,110125,62
01.09.2020,18:23:00,112806,115250,108236,111930,10
01.09.2020,18:24:00,110520,115204,108020,115204,97
01.09.2020,18:25:00,109997,115180,108139,111192,2
01.09.2020,18:26:00,111143,115127,107974,112026,68
01.09.2020,18:27:00,110371,115204,107965,112196,43
01.09.2020,18:28:00,112698,115270,107979,109003,28
01.09.2020,18:29:00,112804,115081,108106,112010,80
01.09.2020,18:30:00,107963,115242,107963,113184,5
01.09.2020,18:31:00,109969,115279,108091,110062,70
01.09.2020,18:32:00,108821,115297,108129,113644,75
01.09.2020,18:33:00,110718,115215,108201,111229,75
01.09.2020,18:34:00,114012,115292,108183,108562,41
01.09.2020,18:35:00,110221,115292,108363,110080,48
01.09.2020,18:36:00,114683,115196,108037,110697,74
01.09.2020,18:37:00,113216,114947,108226,108361,58
